Question,Response,processed_question,processed_response,question_seq,response_seq,padded_question,padded_response
hi how are you doing,i am fine how about yourself,"['hi', 'how', 'are', 'you', 'doing']","['i', 'am', 'fine', 'how', 'about', 'yourself']","[1, 2, 3, 4, 5]","[6, 7, 8, 2, 9, 10]","[1, 2, 3, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 8, 2, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am fine how about yourself,i am pretty good thanks for asking,"['i', 'am', 'fine', 'how', 'about', 'yourself']","['i', 'am', 'pretty', 'good', 'thanks', 'for', 'asking']","[6, 7, 8, 2, 9, 10]","[6, 7, 11, 12, 13, 14, 15]","[6, 7, 8, 2, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 11, 12, 13, 14, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am pretty good thanks for asking,no problem so how have you been,"['i', 'am', 'pretty', 'good', 'thanks', 'for', 'asking']","['no', 'problem', 'so', 'how', 'have', 'you', 'been']","[6, 7, 11, 12, 13, 14, 15]","[16, 17, 18, 2, 19, 4, 20]","[6, 7, 11, 12, 13, 14, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16, 17, 18, 2, 19, 4, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
no problem so how have you been,i have been great what about you,"['no', 'problem', 'so', 'how', 'have', 'you', 'been']","['i', 'have', 'been', 'great', 'what', 'about', 'you']","[16, 17, 18, 2, 19, 4, 20]","[6, 19, 20, 21, 22, 9, 4]","[16, 17, 18, 2, 19, 4, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 19, 20, 21, 22, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i have been great what about you,i have been good i am in school right now,"['i', 'have', 'been', 'great', 'what', 'about', 'you']","['i', 'have', 'been', 'good', 'i', 'am', 'in', 'school', 'right', 'now']","[6, 19, 20, 21, 22, 9, 4]","[6, 19, 20, 12, 6, 7, 23, 24, 25, 26]","[6, 19, 20, 21, 22, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 19, 20, 12, 6, 7, 23, 24, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i have been good i am in school right now,what school do you go to,"['i', 'have', 'been', 'good', 'i', 'am', 'in', 'school', 'right', 'now']","['what', 'school', 'do', 'you', 'go', 'to']","[6, 19, 20, 12, 6, 7, 23, 24, 25, 26]","[22, 24, 27, 4, 28, 29]","[6, 19, 20, 12, 6, 7, 23, 24, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 24, 27, 4, 28, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what school do you go to,i go to pcc,"['what', 'school', 'do', 'you', 'go', 'to']","['i', 'go', 'to', 'pc', '##c']","[22, 24, 27, 4, 28, 29]","[6, 28, 29, 30, 31]","[22, 24, 27, 4, 28, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 28, 29, 30, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i go to pcc,do you like it there,"['i', 'go', 'to', 'pc', '##c']","['do', 'you', 'like', 'it', 'there']","[6, 28, 29, 30, 31]","[27, 4, 32, 33, 34]","[6, 28, 29, 30, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 4, 32, 33, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
do you like it there,it is okay it is a really big campus,"['do', 'you', 'like', 'it', 'there']","['it', 'is', 'okay', 'it', 'is', 'a', 'really', 'big', 'campus']","[27, 4, 32, 33, 34]","[33, 35, 36, 33, 35, 37, 38, 39, 40]","[27, 4, 32, 33, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 35, 36, 33, 35, 37, 38, 39, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
it is okay it is a really big campus,good luck with school,"['it', 'is', 'okay', 'it', 'is', 'a', 'really', 'big', 'campus']","['good', 'luck', 'with', 'school']","[33, 35, 36, 33, 35, 37, 38, 39, 40]","[12, 41, 42, 24]","[33, 35, 36, 33, 35, 37, 38, 39, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 41, 42, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
good luck with school,thank you very much,"['good', 'luck', 'with', 'school']","['thank', 'you', 'very', 'much']","[12, 41, 42, 24]","[62, 4, 114, 163]","[12, 41, 42, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62, 4, 114, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
how is it going,i am doing well how about you,"['how', 'is', 'it', 'going']","['i', 'am', 'doing', 'well', 'how', 'about', 'you']","[2, 35, 33, 43]","[6, 7, 5, 44, 2, 9, 4]","[2, 35, 33, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 5, 44, 2, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am doing well how about you,never better thanks,"['i', 'am', 'doing', 'well', 'how', 'about', 'you']","['never', 'better', 'thanks']","[6, 7, 5, 44, 2, 9, 4]","[45, 46, 13]","[6, 7, 5, 44, 2, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[45, 46, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
never better thanks,so how have you been lately,"['never', 'better', 'thanks']","['so', 'how', 'have', 'you', 'been', 'lately']","[45, 46, 13]","[18, 2, 19, 4, 20, 47]","[45, 46, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 2, 19, 4, 20, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
so how have you been lately,i have actually been pretty good you,"['so', 'how', 'have', 'you', 'been', 'lately']","['i', 'have', 'actually', 'been', 'pretty', 'good', 'you']","[18, 2, 19, 4, 20, 47]","[6, 19, 48, 20, 11, 12, 4]","[18, 2, 19, 4, 20, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 19, 48, 20, 11, 12, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
